area_id,hospital_count,hospital_capacity,cooling_centre_count,distance_to_healthcare_km,resource_capacity_score
WARD_001,2,74.0,2,1.4,61.1
WARD_002,1,28.0,0,3.1,43.2
WARD_003,3,115.0,4,0.8,85.5
WARD_004,1,45.0,1,2.2,52.3
WARD_005,0,0.0,2,4.5,21.8
WARD_006,2,65.0,1,1.8,58.4
WARD_007,1,32.0,0,2.9,46.7
WARD_008,4,150.0,3,0.5,92.1
WARD_009,0,0.0,1,3.8,25.4
WARD_010,2,82.0,2,1.2,68.9
WARD_011,1,40.0,0,2.5,49.5
WARD_012,3,105.0,2,0.9,78.6
WARD_013,1,25.0,1,3.4,41.2
WARD_014,0,0.0,0,5.1,15.6
WARD_015,2,95.0,3,1.1,73.4
WARD_016,1,38.0,1,2.7,50.1
WARD_017,3,130.0,2,0.7,86.2
WARD_018,0,0.0,1,4.2,28.5
WARD_019,2,60.0,0,1.9,55.3
WARD_020,1,42.0,2,2.4,54.8
WARD_021,2,70.0,1,1.6,60.5
WARD_022,0,0.0,0,4.8,18.9
WARD_023,3,120.0,3,0.8,84.1
WARD_024,1,35.0,1,2.8,47.2
WARD_025,2,88.0,2,1.3,71.5
WARD_026,1,22.0,0,3.6,38.4
WARD_027,4,160.0,4,0.4,95.3
WARD_028,0,0.0,2,4.1,30.6
WARD_029,2,78.0,1,1.5,65.7
WARD_030,1,48.0,0,2.3,53.9
WARD_031,3,110.0,2,1.0,81.4
WARD_032,1,30.0,1,3.2,45.6
WARD_033,0,0.0,1,4.7,23.1
WARD_034,2,92.0,3,1.2,76.8
WARD_035,1,44.0,0,2.6,51.5
WARD_036,3,140.0,2,0.6,89.7
WARD_037,0,0.0,0,5.5,12.3
WARD_038,2,68.0,1,1.7,59.2
WARD_039,1,36.0,2,2.5,50.8
WARD_040,2,76.0,0,1.4,63.4
WARD_041,0,0.0,1,4.4,26.7
WARD_042,3,125.0,3,0.9,82.6
WARD_043,1,28.0,1,3.0,44.5
WARD_044,2,85.0,2,1.3,70.1
WARD_045,1,40.0,0,2.7,48.3
WARD_046,4,155.0,4,0.5,93.8
WARD_047,0,0.0,2,4.0,32.4
WARD_048,2,72.0,1,1.6,62.9
WARD_049,1,46.0,0,2.4,52.1
WARD_050,3,118.0,2,0.8,80.5
WARD_051,1,34.0,1,3.1,46.8
WARD_052,0,0.0,1,4.6,24.9
WARD_053,2,90.0,3,1.1,75.2
WARD_054,1,42.0,0,2.5,50.4
WARD_055,3,135.0,2,0.7,88.1
WARD_056,0,0.0,0,5.2,16.8
WARD_057,2,64.0,1,1.8,57.6
WARD_058,1,38.0,2,2.6,51.9
WARD_059,2,75.0,0,1.5,64.2
WARD_060,0,0.0,1,4.3,29.1
